,EC-NUMBER,SUBSTRATES,PRODUCTS,GIBBS
7784,EC-3.1.1.83,"['CPD-10069', 'WATER']","['CPD-10072', 'PROTON']", -11.26712
7785,EC-3.1.1.83,"['CPD-10044', 'WATER']","['PROTON', 'CPD-10047']", -11.26712
7786,EC-3.1.1.83,"['CPD-10068', 'WATER']","['CPD-10071', 'PROTON']", -11.26712
7787,EC-3.1.1.83,"['CPD-10107', 'WATER']","['CPD-15179', 'PROTON']", -11.26712
7788,EC-3.1.1.83,"['7-isopropyl-4-methyloxepan-2-ones', 'WATER']","['6-Hydroxy-37-dimethyloctanoate', 'PROTON']", -11.26712
7789,EC-3.1.1.84,"['Pimeloyl-ACP-methyl-esters', 'WATER']","['Pimeloyl-ACPs', 'METOH', 'PROTON']",30.6521
7790,EC-3.1.1.85,"['2-O-acetyl-Rhamnogalacturns', 'WATER']","['Rhamnogalacturonans-I', 'ACET']",No-Data
7791,EC-3.1.1.86,"['3-O-acetyl-Rhamnogalacturns', 'WATER']","['Rhamnogalacturonans-I', 'ACET']",'No-Data'
7792,EC-3.1.1.87,"['CPD-13112', 'WATER']","['PROTON', 'CPD-13113', 'CPD-13114']",-2.767105
7793,EC-3.1.1.88,"['Phosphatase-2A-leucine-methyl-ester', 'WATER']","['Phosphatase-2A-leucine', 'METOH', 'PROTON']",31.276237
7794,EC-3.1.1.89,"['All-trans-Retinyl-Esters', 'WATER']","['CPD-13550', 'Fatty-Acids']",294.66632000000004
7795,EC-3.1.1.90,"['CPD-14343', 'WATER']","['CPD-1070', 'PROTON']",15.188782000000002
7796,EC-3.1.1.91,"['CPD-10420', 'WATER']","['CPD-294', 'SO3', 'PROTON']",-32.535354999999996
7797,EC-3.1.1.92,"['CPD-14602', 'WATER']","['CPD-14601', 'D-Glucopyranuronate', 'PROTON']",-2.7671203999999996
7798,EC-3.1.1.93,"['CPD-10170', 'WATER']","['PROTON', 'CPD-10171', 'ACET']",-4.2871094
7799,EC-3.1.1.94,"['CPD-10172', 'WATER']","['CPD-10174', 'ACET']",-2.2088928
7800,EC-3.1.1.95,"['CPD-15541', 'WATER']","['CPD-15542', 'METOH', 'PROTON']",1.0870361000000002
7801,EC-3.1.1.95,"['CPD-12960', 'WATER']","['CPD-15785', 'METOH', 'PROTON']", 1.0870361000000002
7802,EC-3.1.1.96,"['D-aspartyl-tRNA-Asp', 'WATER']","['CPD-302', 'ASP-tRNAs', 'PROTON']",48.5885
7803,EC-3.1.1.96,"['D-tyrosyl-tRNA-Tyr', 'WATER']","['D-TYROSINE', 'TYR-tRNAs', 'PROTON']", 98.6958
7804,EC-3.1.1.96,"['D-aminoacyl-tRNAs', 'WATER']","['D-Amino-Acids', 'tRNAs', 'PROTON']", -14.286499
7805,EC-3.1.1.96,"['glycyl-tRNAAla', 'WATER']","['GLY', 'ALA-tRNAs', 'PROTON']", 36.199036
7806,EC-3.1.1.97,"['Wnt-Protein-O-9Z-hexadecenoyl-L-serine', 'WATER']","['Wnt-Protein-L-serine', 'CPD-9245', 'PROTON']",284.82422
7807,EC-3.1.1.98,"['CPD-18481', 'WATER']","['CPD-18482', 'PROTON']",-6.7312316999999995
7808,EC-3.1.1.99,['CPD-17772'],"['CPD-17769', 'Glucopyranose']",-12.040009
7809,EC-3.1.1.M1,"['METHYL-ACETATE', 'WATER']","['ACET', 'METOH', 'PROTON']",-1.0571175
7810,EC-3.1.1.M3,"['ETHYLACETATE', 'WATER']","['ACET', 'ETOH', 'PROTON']",-4.477115599999999
7811,EC-3.1.1.M4,"['CPD-19626', 'WATER']","['CPD-7032', 'ACET', 'PROTON']",-4.2871246
